id,name,description,ability_id
1.A.1.a.3,Oral Expression,The ability to communicate information and ideas in speaking so others will understand.,1
1.A.1.a.1,Oral Comprehension,The ability to listen to and understand information and ideas presented through spoken words and sentences.,2
1.A.1.d.1,Memorization,"The ability to remember information such as words, numbers, pictures, and procedures.",3
1.A.4.b.5,Speech Clarity,The ability to speak clearly so others can understand you.,4
1.A.1.a.2,Written Comprehension,The ability to read and understand information and ideas presented in writing.,5
1.A.1.b.2,Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.",6
1.A.4.a.1,Near Vision,The ability to see details at close range (within a few feet of the observer).,7
1.A.1.b.3,Problem Sensitivity,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem.",8
1.A.1.b.1,Fluency of Ideas,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).",9
1.A.1.g.1,Selective Attention,The ability to concentrate on a task over a period of time without being distracted.,10
1.A.4.b.4,Speech Recognition,The ability to identify and understand the speech of another person.,11
1.A.1.b.4,Deductive Reasoning,The ability to apply general rules to specific problems to produce answers that make sense.,12
1.A.1.b.5,Inductive Reasoning,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).,13
1.A.1.b.6,Information Ordering,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).",14
1.A.1.a.4,Written Expression,The ability to communicate information and ideas in writing so others will understand.,15
1.A.1.b.7,Category Flexibility,The ability to generate or use different sets of rules for combining or grouping things in different ways.,16
1.A.1.g.2,Time Sharing,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).",17
1.A.1.f.2,Visualization,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.,18
1.A.4.a.2,Far Vision,The ability to see details at a distance.,19
1.A.3.a.4,Trunk Strength,"The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing.",20
1.A.1.e.2,Flexibility of Closure,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.",21
1.A.3.c.3,Gross Body Coordination,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.",22
1.A.1.e.1,Speed of Closure,"The ability to quickly make sense of, combine, and organize information into meaningful patterns.",23
1.A.2.a.1,Arm-Hand Steadiness,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.,24
1.A.4.b.2,Auditory Attention,The ability to focus on a single source of sound in the presence of other distracting sounds.,25
1.A.3.a.3,Dynamic Strength,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.,26
1.A.3.c.1,Extent Flexibility,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.",27
1.A.2.a.3,Finger Dexterity,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.",28
1.A.3.c.4,Gross Body Equilibrium,The ability to keep or regain your body balance or stay upright when in an unstable position.,29
1.A.2.a.2,Manual Dexterity,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.",30
1.A.2.b.2,Multilimb Coordination,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.",31
1.A.1.e.3,Perceptual Speed,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.",32
1.A.3.b.1,Stamina,The ability to exert yourself physically over long periods of time without getting winded or out of breath.,33
1.A.3.a.1,Static Strength,"The ability to exert maximum muscle force to lift, push, pull, or carry objects.",34
1.A.4.a.3,Visual Color Discrimination,"The ability to match or detect differences between colors, including shades of color and brightness.",35
1.A.4.a.7,Glare Sensitivity,The ability to see objects in the presence of a glare or bright lighting.,36
1.A.4.b.1,Hearing Sensitivity,The ability to detect or tell the differences between sounds that vary in pitch and loudness.,37
1.A.3.a.2,Explosive Strength,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.",38
1.A.1.c.2,Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly.",39
1.A.2.c.2,Wrist-Finger Speed,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.",40
1.A.2.b.1,Control Precision,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.,41
1.A.4.a.6,Depth Perception,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.",42
1.A.3.c.2,Dynamic Flexibility,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.",43
1.A.1.c.1,Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.,44
1.A.4.a.4,Night Vision,The ability to see under low-light conditions.,45
1.A.4.a.5,Peripheral Vision,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.,46
1.A.2.b.4,Rate Control,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.,47
1.A.2.c.1,Reaction Time,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears.",48
1.A.2.b.3,Response Orientation,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.",49
1.A.4.b.3,Sound Localization,The ability to tell the direction from which a sound originated.,50
1.A.1.f.1,Spatial Orientation,The ability to know your location in relation to the environment or to know where other objects are in relation to you.,51
1.A.2.c.3,Speed of Limb Movement,The ability to quickly move the arms and legs.,52
